addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode
강원도 화천군 하남면 호수길 329,,32,0,A02,A0203,A02030600,2568667,12,20181122021644,http://tong.visitkorea.or.kr/cms/resource/31/2566331_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2566331_image3_1.jpg,127.6638863835,38.0410226727,6,20221207181351,37,17,,동구래마을,24145
강원도 화천군 화천읍 강변로 2-54,,32,0,A03,A0305,A03050100,2568665,12,20181122021353,http://tong.visitkorea.or.kr/cms/resource/04/2566404_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2566404_image3_1.jpg,127.6970121290,38.1007385507,6,20210824010409,55,17,,에어링화천,24131
강원도 화천군 화천읍 동촌리 산11-7,,32,0,A02,A0205,A02050600,2568655,12,20181122020536,http://tong.visitkorea.or.kr/cms/resource/57/2566457_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2566457_image3_1.jpg,127.8235476431,38.1979629174,6,20220825120532,54,17,,해산전망대,24110
강원도 화천군 상서면 주파령로 4,,32,0,A02,A0205,A02050600,2568601,12,20181122015058,http://tong.visitkorea.or.kr/cms/resource/31/2566431_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2566431_image3_1.jpg,127.6642395938,38.2108973017,6,20220825110425,37,17,,칠성전망대,24101
강원도 화천군 간동면 간척월명로 869-129,,32,0,A02,A0202,A02020600,2568548,12,20181122011045,,,127.8420100761,38.0984193208,6,20220826110754,33,17,,수달연구센터,24135
강원도 화천군 화천읍 산수화로 10,,32,0,A02,A0205,A02050600,2568531,12,20181122010736,http://tong.visitkorea.or.kr/cms/resource/81/2566381_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/2566381_image3_1.jpg,127.7060000051,38.1071490826,6,20220914140049,61,17,,산타우체국,24120
강원도 화천군 하남면 영서로 5289-11,,32,0,A02,A0203,A02030600,2537165,12,20180221193947,http://tong.visitkorea.or.kr/cms/resource/65/2567665_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/2567665_image3_1.jpg,127.6455289496,38.0670304086,6,20220330163537,1680,17,,화천 목재문화체험장,24145
강원도 화천군 화천읍 평화로 3481-18,,32,0,A02,A0204,A02040800,2465437,12,20161221002500,http://tong.visitkorea.or.kr/cms/resource/55/1141455_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/1141455_image3_1.jpg,127.8461812083,38.2137226165,6,20220421133016,2211,17,,평화의 댐 물 문화관,24110
강원도 화천군 상서면 갈목길 157,,32,0,A02,A0203,A02030100,2394825,12,20160726192435,http://tong.visitkorea.or.kr/cms/resource/75/2567675_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2567675_image3_1.jpg,127.6042632575,38.1605548367,6,20220518174546,3672,17,,화천 산약초 마을,24103
강원도 화천군 화천읍 상승로1길 48-16,,32,0,A02,A0201,A02010700,1954350,12,20141007223207,http://tong.visitkorea.or.kr/cms/resource/59/2669259_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2669259_image3_1.jpg,127.6981563171,38.1058046481,6,20220801092850,3451,17,,화천향교,24121
강원도 화천군 화천읍 평화로 3481-18,,32,0,A02,A0205,A02050600,1626292,12,20120509220628,http://tong.visitkorea.or.kr/cms/resource/20/2566020_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/20/2566020_image2_1.bmp,127.8435842372,38.2132809524,6,20221207000637,23338,17,,평화의댐(화천),24110
